Name,CombinedES1
PSMD12,1.2803
WRAP73,1.2796
FA2H,1.2795
COA8,1.2791
KHDC4,1.2789
DSN1,1.2778
URB2,1.2756
MPP6,1.2754
TRIM65,1.2753
H2AX,1.2749
ZC3HC1,1.2742
PRPF19,1.2739
FIGNL1,1.2739
POFUT1,1.2738
STK31,1.2738
GOLGA3,1.2729
EIF2AK2,1.2727
VARS1,1.2713
XPNPEP3,1.2705
MRPL58,1.2698
POLR3K,1.2696
NQO1,1.2695
DHX37,1.2688
AATF,1.2677
CALU,1.2676
SLC36A4,1.2667
COCH,1.2652
ALG3,1.2648
TEPSIN,1.2647
FAXC,1.2645
WHRN,1.264
TARS2,1.2634
MAP7D2,1.2631
RAD54B,1.2631
BRCC3,1.2614
ZNF408,1.2611
FAM13A,1.2608
FBXO16,1.2577
ZNF687,1.257
RRM1,1.2565
TBX15,1.2557
USP37,1.2554
DOLPP1,1.2552
ESRP1,1.2534
GRHL2,1.2533
CCDC149,1.2522
AK2,1.2509
PAQR4,1.2507
SEC61A2,1.2503
CDC42BPA,1.2488
NOC2L,1.2481
NUP88,1.2479
ASNS,1.2467
ATXN7L3,1.2459
SLC39A4,1.2455
H2BC6,1.2454
EEF1AKNMT,1.2454
RECQL5,1.2444
PNPT1,1.2444
RBM12B,1.2441
GNL3,1.243
GON4L,1.2422
RMI1,1.2409
TRMT61A,1.2403
SOX12,1.2396
FBXO5,1.2394
FKBP14,1.2379
TUBG1,1.2376
SNRPC,1.2374
TMEM63A,1.2371
SLFN13,1.2369
HM13,1.2367
FAAP24,1.2362
EMC9,1.2359
CLDN9,1.2335
FTSJ3,1.2318
ACTL6A,1.2294
TTF2,1.2292
RPS6KB1,1.2285
SRD5A3,1.2278
PTCD1,1.2277
PRCC,1.2271
CACNA1I,1.2266
SYT12,1.2264
EXO5,1.2258
MX2,1.2241
RITA1,1.224
CUEDC1,1.2238
TOP3A,1.223
NRIP3,1.2226
POLD1,1.2224
GPR19,1.2221
ZNF217,1.2217
FAM178B,1.2217
RHBDL2,1.2209
BRAF,1.2208
GMNN,1.2204
ZNF692,1.2202
GRIN1,1.2198
ATL3,1.2195
MAST1,1.2195
ADCK5,1.2188
CTTN,1.2183
LPGAT1,1.2183
ERBB3,1.2182
DPY19L1,1.217
NCAPD2,1.2163
EIF5A,1.2159
EIPR1,1.2153
EIF4G1,1.2139
NPLOC4,1.2139
LGSN,1.2138
UCN,1.2132
RSPRY1,1.2126
SLC27A2,1.2121
UFSP1,1.2121
TIMM17B,1.212
METTL21A,1.2116
H2BC7,1.2115
GINS3,1.2113
TOX3,1.2113
NUP107,1.2105
SMYD5,1.21
RABIF,1.2092
GPC2,1.2069
H1-4,1.2059
SDAD1,1.2052
DDX55,1.2032
ITM2C,1.2028
LIG1,1.2024
DYRK2,1.2024
ISCA2,1.202
RNF121,1.2012
EIF3B,1.2009
MRPL36,1.1993
DROSHA,1.1992
SHCBP1,1.1989
ZNF212,1.198
BLZF1,1.197
SLC22A18,1.1969
DDX52,1.1968
RNF24,1.1945
PM20D2,1.1942
PA2G4,1.1941
CRCP,1.193
E2F5,1.1913
STK39,1.1912
DNAJB11,1.1906
TLE3,1.1906
PANX2,1.1905
NUP205,1.1905
FASTK,1.1888
MRPS14,1.188
KCNK12,1.1869
TMTC4,1.1862
NDUFAF7,1.1859
INTS8,1.1858
SYT7,1.1852
BOLA3,1.1845
PRDX4,1.1841
FBXO28,1.1841
IMP4,1.1833
TMEM209,1.1833
ACTL10,1.1829
DNAJC30,1.1823
SLC39A1,1.1812
DOP1B,1.1801
MTFR1,1.1787
CNNM4,1.1783
TSPAN6,1.1777
TOMM70,1.1776
FAM174C,1.1774
CABYR,1.177
POLE,1.177
GNL2,1.1769
OVOL1,1.1767
TUFT1,1.1762
UNG,1.1755
CPNE4,1.1735
TSACC,1.1734
NUP43,1.1727
N4BP2,1.1719
SMG5,1.1716
ADAR,1.1715
GRB7,1.1713
CDC7,1.1712
DDX39A,1.171
IQCC,1.1696
FOXRED1,1.1681
CCDC47,1.1676
PIGX,1.1659
TMCO1,1.1653
B3GNT3,1.1652
KNL1,1.165
ABCA4,1.1647
FANCG,1.163
SEM1,1.1622
NR2C2AP,1.1601
PRSS22,1.1598
GOLT1A,1.1596
HSPD1,1.1593
MUC16,1.1591
ERAL1,1.159
EEF1E1,1.1589
CDC6,1.1573
DLL3,1.1559
DCLRE1C,1.1559
NAT9,1.1556
CP,1.1552
PIF1,1.1551
C12orf66,1.1546
PDE9A,1.1538
SEMA4C,1.1538
CST2,1.1533
DNAJA3,1.1533
TSFM,1.1529
RCN1,1.1524
TBCD,1.1521
NTHL1,1.151
LYSMD1,1.1504
NAA25,1.1499
FLJ32255,1.1499
DIO2,1.1495
TOMM40,1.1472
NOL6,1.1464
EXOSC5,1.1448
PUS7L,1.1446
STRA6,1.1445
TUBB2B,1.1428
KIF18A,1.1427
COPA,1.1427
VPS41,1.1425
LLGL2,1.1422
PRUNE1,1.1411
VPS37D,1.1407
TMEM52,1.1407
BRF1,1.1398
COA1,1.1391
MRM1,1.1379
CTSA,1.1365
HDHD3,1.1362
MRPL38,1.136
PRR7,1.1359
CCT5,1.1357
TARBP1,1.134
MYEOV,1.1338
BEAN1,1.1337
SLC25A15,1.1335
CDK4,1.1334
H2BC9,1.133
HEATR6,1.1329
TJP3,1.1329
THOC5,1.1325
PRPF3,1.132
CEMIP,1.1319
CLDN4,1.1318
RAB3IP,1.1309
COA4,1.1306
DNMT1,1.13
NONO,1.1297
PPP1R9A,1.1294
CABP4,1.1286
PPFIA1,1.1283
RCC2,1.128
EPHB3,1.1271
PARP2,1.1269
GOT1,1.1269
MYO19,1.1267
HACD3,1.1265
DHX57,1.1263
BCL2L12,1.126
GEMIN6,1.1255
RPS6KB2,1.1255
COL3A1,1.1251
HYKK,1.1244
DDN,1.1235
DHRS13,1.1235
WFDC10B,1.1234
YY1AP1,1.1231
YDJC,1.1227
MAIP1,1.1225
MTG2,1.1225
SEC61A1,1.1221
ACY3,1.1218
KY,1.1206
EXOSC4,1.1203
PLAAT1,1.1202
PRMT5,1.12
IGFBP3,1.1195
TMEM105,1.1189
AIM2,1.1187
AP1M2,1.1182
ZNF280B,1.1178
GTPBP3,1.1177
PCNX3,1.1175
FAM91A1,1.1173
ZNF114,1.1172
TRIM24,1.1172
DNAH2,1.1167
SLC9A7,1.1152
LZTS3,1.1148
TMEM182,1.1147
TMED4,1.1144
ALPK2,1.1143
TMEM241,1.1138
SLC52A3,1.1137
SPDL1,1.1132
LIN9,1.1126
PLD6,1.1122
ATP9A,1.1121
LRP5,1.1116
MAPK13,1.1113
ENC1,1.1094
SF3B2,1.1092
CENPI,1.1082
GALNT6,1.1079
C9orf64,1.1072
DDX11,1.1056
GCLM,1.1056
USP39,1.1054
RAMP1,1.1049
BAIAP2L2,1.1037
NFE2L3,1.103
FARSA,1.1017
ATP1B1,1.1008
OPLAH,1.1006
MKS1,1.1005
CLDN10,1.1
AIRE,1.0997
CASP2,1.0991
ALG6,1.0991
TKFC,1.0989
ATG16L1,1.0987
GTPBP4,1.0984
SMYD3,1.0982
FAM199X,1.0981
SNRPA1,1.0968
TNNI3,1.0948
SLC4A2,1.0945
HPDL,1.0942
UTP4,1.0937
TLE6,1.0923
KREMEN2,1.0919
CEACAM1,1.0914
ISG20L2,1.091
PRELID1,1.0905
TRMU,1.0901
MBOAT7,1.0898
FCGBP,1.0888
LSG1,1.0887
RHBDD3,1.0886
FAM83D,1.0883
ABHD11,1.0881
BMF,1.0869
MINDY1,1.0868
AARS1,1.0862
SMC4,1.0858
TOPBP1,1.0857
THUMPD3,1.0854
PRR11,1.0851
PCSK4,1.0849
DCTPP1,1.0843
FAM222A,1.0838
TIMM29,1.0836
EHMT2,1.0836
EPHX4,1.0835
LIG3,1.0832
AGR2,1.0824
H3C10,1.0822
SHROOM1,1.0816
PCP4,1.0815
MTMR4,1.0812
NKRF,1.0809
STYK1,1.0807
C1orf53,1.0803
MTPAP,1.08
CCDC138,1.0794
HAUS8,1.0776
CT83,1.0776
HDAC10,1.077
HTR3A,1.0765
AGO2,1.0765
MCM5,1.0764
GTPBP10,1.076
IL4I1,1.0758
TMEM208,1.0758
PRELID3B,1.0753
LRPPRC,1.075
UBXN2A,1.0747
UTP14A,1.0746
RAVER1,1.0741
MAP11,1.0739
IL23A,1.0732
MRPS18A,1.0727
THNSL1,1.0726
CCNO,1.0722
LINC00205,1.0719
FLVCR1,1.0713
TAX1BP1,1.0708
HEATR3,1.0707
PRAME,1.0707
YARS1,1.0693
COMP,1.069
SCLY,1.069
RAB5IF,1.0688
TMPRSS6,1.0688
GNG4,1.0686
TDG,1.0679
FKBP11,1.0668
PSMA5,1.0666
USP5,1.0665
SHF,1.0665
ATAT1,1.0655
OSBP2,1.065
TIMM9,1.0628
REXO5,1.0626
TIGD5,1.0622
PROC,1.0618
BDH1,1.0616
RHOBTB3,1.0616
ZWILCH,1.0615
