"","beta","HR (95% CI)","z","wald.test","P-value"
"CALML3|810","-0.0417","0.9592(0.8903-1.0334)","-1.0963","1.2","0.273"
"BTBD17|388419","-0.1185","0.8883(0.7187-1.0979)","-1.0961","1.2","0.273"
"SOX21|11166","0.0375","1.0382(0.9709-1.1102)","1.0959","1.2","0.2731"
"TTC24|164118","-0.0765","0.9264(0.8079-1.0623)","-1.095","1.2","0.2735"
"ALDOB|229","-0.0522","0.9491(0.8644-1.0422)","-1.0946","1.2","0.2737"
"RHOXF2B|727940","-0.0889","0.915(0.7803-1.0729)","-1.0942","1.2","0.2738"
"ACCN3|9311","-0.0557","0.9458(0.856-1.0451)","-1.0942","1.2","0.2739"
"S100B|6285","-0.0518","0.9495(0.8653-1.0419)","-1.0933","1.2","0.2743"
"KRT38|8687","-0.1483","0.8622(0.6607-1.1251)","-1.0918","1.19","0.2749"
"GEN1|348654","0.1258","1.1341(0.9045-1.4221)","1.0901","1.19","0.2757"
"KRT19|3880","0.096","1.1008(0.926-1.3085)","1.0887","1.19","0.2763"
"CHAT|1103","-0.0854","0.9181(0.7871-1.0709)","-1.0875","1.18","0.2768"
"CXorf61|203413","0.0292","1.0296(0.9768-1.0853)","1.0867","1.18","0.2772"
"CDCA7|83879","0.0608","1.0627(0.9523-1.1858)","1.0861","1.18","0.2774"
"MAGEB6|158809","0.111","1.1174(0.9144-1.3655)","1.0855","1.18","0.2777"
"ATP1B1|481","-0.0841","0.9194(0.7897-1.0704)","-1.0834","1.17","0.2787"
"JAKMIP3|282973","-0.0518","0.9495(0.8645-1.0429)","-1.0826","1.17","0.279"
"SPAG11A|653423","-0.2251","0.7985(0.5312-1.2001)","-1.0825","1.17","0.279"
"LYPD1|116372","0.0538","1.0552(0.9573-1.1631)","1.0822","1.17","0.2791"
"ETNK2|55224","-0.072","0.9306(0.8168-1.0601)","-1.0824","1.17","0.2791"
"FAM163A|148753","0.0716","1.0743(0.9436-1.223)","1.0824","1.17","0.2791"
"AQPEP|206338","0.0635","1.0656(0.9497-1.1956)","1.081","1.17","0.2797"
"RUNDC3A|10900","-0.0559","0.9457(0.8544-1.0467)","-1.079","1.16","0.2806"
"HCN3|57657","-0.0904","0.9136(0.7751-1.0768)","-1.0775","1.16","0.2812"
"GLDC|2731","0.0412","1.0421(0.9668-1.1232)","1.0777","1.16","0.2812"
"TNFRSF25|8718","-0.0652","0.9369(0.8322-1.0548)","-1.0775","1.16","0.2813"
"MYBPC2|4606","-0.0523","0.949(0.8628-1.0438)","-1.0767","1.16","0.2816"
"SERPINB13|5275","0.0509","1.0522(0.959-1.1545)","1.0755","1.16","0.2822"
"GOLGA6L1|283767","-0.0898","0.9141(0.7762-1.0766)","-1.0753","1.16","0.2822"
"ADORA1|134","0.0493","1.0505(0.9602-1.1493)","1.0748","1.16","0.2825"
"CCL1|6346","-0.0948","0.9096(0.7651-1.0814)","-1.0737","1.15","0.2829"
"KRT39|390792","-0.0738","0.9289(0.8118-1.0628)","-1.0732","1.15","0.2832"
"ADAM2|2515","-0.1233","0.884(0.7058-1.1073)","-1.0727","1.15","0.2834"
"CSTL1|128817","0.0732","1.076(0.9412-1.23)","1.0725","1.15","0.2835"
"PLA2G2D|26279","-0.0442","0.9567(0.8824-1.0373)","-1.0723","1.15","0.2836"
"LOC440905|440905","0.0371","1.0378(0.9698-1.1106)","1.0721","1.15","0.2837"
"TMEM156|80008","0.0534","1.0549(0.9566-1.1632)","1.0711","1.15","0.2841"
"CHRD|8646","-0.0633","0.9387(0.836-1.054)","-1.0703","1.15","0.2845"
"DBF4|10926","0.1232","1.1311(0.9026-1.4174)","1.0701","1.15","0.2846"
"SLC4A3|6508","0.0649","1.0671(0.9474-1.2019)","1.0698","1.14","0.2847"
"TPTE2|93492","-0.0974","0.9072(0.759-1.0844)","-1.0698","1.14","0.2847"
"KRT31|3881","0.0919","1.0962(0.9263-1.2973)","1.0689","1.14","0.2851"
"FAM158A|51016","0.1334","1.1427(0.8947-1.4593)","1.0686","1.14","0.2853"
"MEST|4232","0.1068","1.1127(0.9146-1.3537)","1.0679","1.14","0.2856"
"CPLX3|594855","-0.0963","0.9082(0.7611-1.0838)","-1.0675","1.14","0.2857"
"KAT2A|2648","-0.1296","0.8785(0.6924-1.1146)","-1.0666","1.14","0.2861"
"NPM3|10360","0.1191","1.1265(0.9049-1.4024)","1.0662","1.14","0.2863"
"SLC39A4|55630","-0.0976","0.907(0.758-1.0853)","-1.066","1.14","0.2864"
"FAM177B|400823","0.0418","1.0427(0.9655-1.126)","1.0661","1.14","0.2864"
"GPR35|2859","0.052","1.0534(0.9573-1.1592)","1.0656","1.14","0.2866"
"MARK1|4139","-0.0574","0.9443(0.8497-1.0493)","-1.0657","1.14","0.2866"
"FOXA1|3169","-0.086","0.9176(0.7833-1.0749)","-1.0654","1.14","0.2867"
"SLC45A2|51151","-0.0843","0.9191(0.7869-1.0737)","-1.0635","1.13","0.2876"
"ATP4A|495","-0.1047","0.9006(0.7425-1.0923)","-1.0634","1.13","0.2876"
"HFE2|148738","-0.1239","0.8835(0.7032-1.1101)","-1.0635","1.13","0.2876"
"POU4F3|5459","0.1097","1.116(0.9112-1.3668)","1.061","1.13","0.2887"
"TAS1R3|83756","0.0579","1.0596(0.952-1.1793)","1.0601","1.12","0.2891"
"PVRL4|81607","-0.0908","0.9132(0.7721-1.0801)","-1.06","1.12","0.2892"
"PNOC|5368","-0.0589","0.9428(0.8455-1.0513)","-1.06","1.12","0.2892"
"LOC647121|647121","-0.094","0.9103(0.7649-1.0832)","-1.0592","1.12","0.2895"
"PSPH|5723","0.0929","1.0973(0.924-1.3032)","1.059","1.12","0.2896"
"CKM|1158","-0.0525","0.9488(0.8609-1.0457)","-1.0586","1.12","0.2898"
"HIST1H2AK|8330","-0.0965","0.908(0.7594-1.0858)","-1.058","1.12","0.2901"
"PPIL1|51645","0.1416","1.1522(0.8861-1.498)","1.0575","1.12","0.2903"
"NCAPD3|23310","0.123","1.1309(0.9001-1.421)","1.0562","1.12","0.2909"
"GUCY2E|390226","-0.0684","0.9339(0.8225-1.0603)","-1.056","1.12","0.291"
"TTYH1|57348","0.0583","1.06(0.9512-1.1813)","1.0548","1.11","0.2915"
"SLAMF7|57823","-0.065","0.9371(0.8305-1.0574)","-1.0541","1.11","0.2918"
"KRT33B|3884","0.1143","1.1211(0.9065-1.3864)","1.0542","1.11","0.2918"
"TIMM8A|1678","0.1502","1.1621(0.8788-1.5367)","1.0539","1.11","0.2919"
"DGCR10|26222","-0.0684","0.9338(0.8222-1.0606)","-1.0539","1.11","0.2919"
"PAGE2B|389860","-0.0573","0.9443(0.8487-1.0506)","-1.0529","1.11","0.2924"
"AMY2A|279","-0.05","0.9513(0.8667-1.0441)","-1.0516","1.11","0.293"
"CLLU1OS|574016","-0.0718","0.9307(0.8139-1.0642)","-1.0501","1.1","0.2937"
"NEUROG3|50674","-0.1017","0.9033(0.7471-1.0923)","-1.0492","1.1","0.2941"
"SLC7A11|23657","0.0454","1.0464(0.9614-1.1389)","1.0489","1.1","0.2942"
"SNHG3|8420","-0.085","0.9185(0.7835-1.0767)","-1.0484","1.1","0.2945"
"LOC151534|151534","-0.1043","0.901(0.7414-1.0949)","-1.0481","1.1","0.2946"
"PAK6|56924","-0.1119","0.8941(0.7252-1.1025)","-1.0472","1.1","0.295"
"AZGP1|563","-0.0298","0.9707(0.9181-1.0263)","-1.0469","1.1","0.2951"
"LOC643955|643955","-0.1075","0.898(0.7342-1.0984)","-1.0467","1.1","0.2953"
"FUT6|2528","-0.0488","0.9524(0.8692-1.0436)","-1.0456","1.09","0.2957"
"ISL2|64843","0.0632","1.0652(0.9462-1.1991)","1.0452","1.09","0.2959"
"PCDH8|5100","-0.0475","0.9536(0.8724-1.0425)","-1.0446","1.09","0.2962"
"UPK1A|11045","0.0603","1.0622(0.9483-1.1897)","1.0421","1.09","0.2974"
"TMPRSS11A|339967","0.1227","1.1306(0.8973-1.4244)","1.041","1.08","0.2979"
"POM121L2|94026","0.0773","1.0804(0.9338-1.25)","1.039","1.08","0.2988"
"VSX1|30813","-0.0728","0.9297(0.8104-1.0667)","-1.0388","1.08","0.2989"
"SLC16A8|23539","-0.064","0.938(0.8314-1.0584)","-1.0389","1.08","0.2989"
"C2orf51|200523","0.115","1.1219(0.903-1.3939)","1.0384","1.08","0.2991"
"C8orf31|286122","0.0581","1.0598(0.9497-1.1828)","1.0378","1.08","0.2994"
"MAMSTR|284358","-0.0783","0.9247(0.7977-1.072)","-1.0377","1.08","0.2994"
"XPOT|11260","0.136","1.1457(0.8858-1.4819)","1.036","1.07","0.3002"
"C6orf126|389383","-0.0505","0.9508(0.8641-1.0461)","-1.0351","1.07","0.3006"
"FSTL4|23105","0.0355","1.0361(0.9687-1.1083)","1.0336","1.07","0.3013"
"C6orf222|389384","-0.0439","0.957(0.8805-1.0402)","-1.0328","1.07","0.3017"
"ACRV1|56","0.0917","1.096(0.9209-1.3045)","1.0323","1.07","0.3019"
"IL31RA|133396","0.0374","1.0381(0.9669-1.1145)","1.0322","1.07","0.302"
"STK39|27347","-0.1001","0.9047(0.7479-1.0944)","-1.0312","1.06","0.3024"
"LRRC20|55222","-0.1258","0.8818(0.6941-1.1202)","-1.0304","1.06","0.3028"
"ACMSD|130013","0.0437","1.0447(0.9613-1.1353)","1.0304","1.06","0.3028"
"CST1|1469","0.0309","1.0314(0.9724-1.094)","1.0291","1.06","0.3034"
"C10orf55|414236","0.0613","1.0632(0.946-1.195)","1.0287","1.06","0.3036"
"GAST|2520","0.1078","1.1138(0.9069-1.3679)","1.028","1.06","0.304"
"TPTE|7179","-0.0545","0.947(0.8533-1.051)","-1.0246","1.05","0.3056"
"BATF|10538","-0.0828","0.9206(0.7857-1.0785)","-1.0243","1.05","0.3057"
"STEAP2|261729","0.0594","1.0612(0.947-1.1892)","1.0232","1.05","0.3062"
"SPTB|6710","-0.0412","0.9596(0.8868-1.0384)","-1.023","1.05","0.3063"
"CLPTM1L|81037","-0.1246","0.8829(0.6954-1.1209)","-1.0228","1.05","0.3064"
"F12|2161","0.0688","1.0713(0.9388-1.2224)","1.0219","1.04","0.3068"
"IGDCC3|9543","0.0632","1.0652(0.9436-1.2024)","1.0215","1.04","0.307"
"SOX30|11063","0.0518","1.0532(0.9535-1.1633)","1.0211","1.04","0.3072"
"MCHR1|2847","0.0608","1.0627(0.9455-1.1945)","1.0204","1.04","0.3075"
"SFRP2|6423","0.0438","1.0448(0.9605-1.1365)","1.0203","1.04","0.3076"
"E2F8|79733","0.08","1.0833(0.9289-1.2633)","1.02","1.04","0.3077"
"GRIN1|2902","-0.0506","0.9507(0.8625-1.0478)","-1.019","1.04","0.3082"
"NLRP4|147945","-0.0799","0.9232(0.7916-1.0767)","-1.0186","1.04","0.3084"
"MRPS24|64951","0.1295","1.1383(0.8871-1.4607)","1.0181","1.04","0.3086"
"SCN3A|6328","-0.0468","0.9543(0.8721-1.0442)","-1.0179","1.04","0.3087"
"LOC100132354|100132354","-0.0692","0.9332(0.8168-1.0661)","-1.0175","1.04","0.3089"
"LRAT|9227","0.045","1.0461(0.9591-1.1409)","1.0164","1.03","0.3094"
"LRRC69|100130742","0.0823","1.0858(0.9264-1.2726)","1.0164","1.03","0.3095"
"PDE11A|50940","0.0616","1.0636(0.9443-1.198)","1.0156","1.03","0.3098"
"KIAA0907|22889","-0.114","0.8922(0.7157-1.1123)","-1.0139","1.03","0.3106"
"ZMAT4|79698","-0.0419","0.959(0.8844-1.0399)","-1.0137","1.03","0.3107"
"TSPAN5|10098","0.083","1.0865(0.9254-1.2758)","1.0133","1.03","0.3109"
"VWDE|221806","0.0421","1.0431(0.9614-1.1317)","1.0132","1.03","0.311"
"HSPE1|3336","0.1305","1.1394(0.8849-1.467)","1.012","1.02","0.3115"
"LEMD1|93273","0.0403","1.0411(0.963-1.1255)","1.012","1.02","0.3115"
"ANXA9|8416","-0.0744","0.9283(0.8037-1.0722)","-1.0119","1.02","0.3116"
"SCGB1D2|10647","0.0776","1.0807(0.9298-1.2561)","1.0117","1.02","0.3117"
"OBP2A|29991","-0.0591","0.9426(0.8406-1.057)","-1.0114","1.02","0.3118"
"NGB|58157","-0.0637","0.9383(0.8294-1.0616)","-1.0109","1.02","0.312"
"DUSP5P|574029","0.0465","1.0476(0.9572-1.1466)","1.0108","1.02","0.3121"
"PAGE4|9506","-0.1282","0.8796(0.6859-1.128)","-1.0105","1.02","0.3122"
"TBC1D3G|654341","-0.0367","0.9639(0.8976-1.0352)","-1.0101","1.02","0.3125"
"KRTAP1-1|81851","0.1145","1.1213(0.8975-1.4009)","1.0081","1.02","0.3134"
"CKS2|1164","0.0836","1.0871(0.9241-1.2789)","1.008","1.02","0.3135"
"RPL39L|116832","0.0653","1.0675(0.9401-1.2121)","1.0074","1.01","0.3138"
"LOC153910|153910","0.0836","1.0872(0.9238-1.2795)","1.0065","1.01","0.3142"
"LPAR2|9170","-0.1456","0.8645(0.6507-1.1486)","-1.0043","1.01","0.3152"
"CCDC21|64793","-0.1289","0.8791(0.6835-1.1305)","-1.0042","1.01","0.3153"
"RRP7B|91695","-0.0985","0.9062(0.7477-1.0983)","-1.0041","1.01","0.3153"
"COL27A1|85301","-0.0561","0.9455(0.8474-1.0548)","-1.0041","1.01","0.3153"
"PLAT|5327","0.0453","1.0463(0.9577-1.1432)","1.0021","1","0.3163"
"FGF11|2256","0.0567","1.0583(0.9472-1.1825)","1.0014","1","0.3166"
"RPTN|126638","0.1143","1.1211(0.8964-1.4022)","1.0015","1","0.3166"
"SLC12A3|6559","0.0621","1.0641(0.9422-1.2018)","1.0003","1","0.3172"
"PCDHGA8|9708","0.0499","1.0511(0.9532-1.1591)","0.9998","1","0.3174"
"SLC6A3|6531","-0.0301","0.9704(0.9148-1.0293)","-0.999","1","0.3178"
"SIX2|10736","-0.0367","0.964(0.897-1.036)","-0.9982","1","0.3182"
"CEACAM6|4680","-0.0391","0.9617(0.8906-1.0384)","-0.9981","1","0.3182"
"SOHLH1|402381","-0.0739","0.9288(0.8033-1.0739)","-0.9973","0.99","0.3186"
"HOXD13|3239","0.0389","1.0396(0.9632-1.1222)","0.9973","0.99","0.3186"
"PRODH2|58510","-0.3231","0.7239(0.3834-1.367)","-0.9961","0.99","0.3192"
"B4GALNT4|338707","-0.0351","0.9656(0.9012-1.0345)","-0.9958","0.99","0.3193"
"ANKRD33|341405","0.0724","1.075(0.9323-1.2396)","0.9958","0.99","0.3193"
"RASGEF1C|255426","0.0418","1.0427(0.9603-1.1322)","0.9953","0.99","0.3196"
"CXCL6|6372","0.0343","1.0349(0.9673-1.1072)","0.9947","0.99","0.3199"
"LOC286467|286467","0.0494","1.0506(0.953-1.1582)","0.9929","0.99","0.3207"
"DMRTB1|63948","-0.1578","0.854(0.6253-1.1663)","-0.9925","0.98","0.321"
"GREB1|9687","-0.051","0.9503(0.8592-1.051)","-0.9919","0.98","0.3212"
"WNK3|65267","-0.0512","0.9501(0.8585-1.0515)","-0.9893","0.98","0.3225"
"H19|283120","0.0299","1.0303(0.9711-1.0932)","0.9885","0.98","0.3229"
"COMP|1311","-0.0345","0.9661(0.902-1.0346)","-0.9872","0.97","0.3236"
"TSPY4|728395","0.0903","1.0945(0.9148-1.3096)","0.9872","0.97","0.3236"
"DPP4|1803","-0.0433","0.9576(0.8788-1.0436)","-0.9867","0.97","0.3238"
"BIK|638","0.0724","1.0751(0.9309-1.2415)","0.9856","0.97","0.3243"
"GOLM1|51280","0.102","1.1074(0.904-1.3566)","0.9849","0.97","0.3247"
"NR0B1|190","0.0261","1.0264(0.9745-1.0811)","0.9848","0.97","0.3247"
"GSC|145258","0.0525","1.054(0.9493-1.1702)","0.9846","0.97","0.3248"
"TRIM53|642569","-0.0964","0.9081(0.7495-1.1003)","-0.9844","0.97","0.3249"
"OR7E91P|79315","0.0636","1.0657(0.9389-1.2096)","0.9843","0.97","0.325"
"LOC440173|440173","0.0386","1.0394(0.9624-1.1225)","0.984","0.97","0.3251"
"SC65|10609","0.0886","1.0927(0.9158-1.3037)","0.9839","0.97","0.3252"
"HIST1H4J|8363","-0.0671","0.9351(0.818-1.0689)","-0.9834","0.97","0.3254"
"ADAM32|203102","0.0711","1.0737(0.9317-1.2374)","0.9825","0.97","0.3259"
"TSPO2|222642","0.0781","1.0812(0.9252-1.2634)","0.982","0.96","0.3261"
"GCLM|2730","0.0814","1.0848(0.9221-1.2761)","0.9817","0.96","0.3263"
"CRELD2|79174","-0.1299","0.8782(0.6773-1.1387)","-0.9798","0.96","0.3272"
"DCAF13|25879","0.1336","1.143(0.8748-1.4933)","0.9797","0.96","0.3273"
"AHCY|191","0.1339","1.1432(0.8746-1.4943)","0.9797","0.96","0.3273"
"EYA2|2139","-0.0381","0.9626(0.892-1.0389)","-0.9794","0.96","0.3274"
"EMX1|2016","-0.0655","0.9366(0.8215-1.0678)","-0.979","0.96","0.3276"
"CHRDL2|25884","-0.0439","0.957(0.8765-1.045)","-0.9788","0.96","0.3277"
"SLC5A5|6528","-0.0322","0.9683(0.9077-1.033)","-0.9762","0.95","0.329"
"FAM190A|401145","-0.0671","0.9351(0.8172-1.07)","-0.9757","0.95","0.3292"
"DRD2|1813","-0.0522","0.9492(0.8546-1.0541)","-0.9753","0.95","0.3294"
"LTF|4057","-0.0299","0.9706(0.9139-1.0307)","-0.9743","0.95","0.3299"
"PABPC1L2B|645974","-0.0736","0.929(0.801-1.0774)","-0.9739","0.95","0.3301"
"LOC96610|96610","-0.0459","0.9551(0.8707-1.0477)","-0.9729","0.95","0.3306"
"SYT12|91683","0.0344","1.035(0.9657-1.1092)","0.9721","0.94","0.331"
"SPACA3|124912","0.0742","1.0771(0.9273-1.251)","0.9717","0.94","0.3312"
"NKX2-2|4821","0.0512","1.0525(0.9491-1.1672)","0.9705","0.94","0.3318"
"TLX3|30012","0.0756","1.0786(0.9258-1.2565)","0.9705","0.94","0.3318"
"PDCD2L|84306","0.1252","1.1334(0.8801-1.4597)","0.9701","0.94","0.332"
"HIST1H2AD|3013","-0.0788","0.9242(0.7881-1.0838)","-0.9697","0.94","0.3322"
"ZG16|653808","0.059","1.0608(0.9415-1.1953)","0.9692","0.94","0.3324"
"SMC1B|27127","0.0358","1.0364(0.964-1.1143)","0.9687","0.94","0.3327"
"KDM5B|10765","0.1507","1.1627(0.8569-1.5775)","0.9681","0.94","0.333"
"UCN|7349","-0.0673","0.9349(0.8154-1.0719)","-0.9649","0.93","0.3346"
"TMEM177|80775","-0.1426","0.8671(0.6489-1.1587)","-0.9642","0.93","0.335"
"GJA9|81025","-0.0984","0.9063(0.7419-1.107)","-0.9641","0.93","0.335"
"WISP3|8838","0.0423","1.0432(0.9572-1.1371)","0.9634","0.93","0.3353"
"GRIN2C|2905","-0.0563","0.9453(0.843-1.06)","-0.9627","0.93","0.3357"
"C8orf76|84933","0.1164","1.1234(0.8862-1.4241)","0.9617","0.92","0.3362"
"MEG3|55384","-0.0414","0.9594(0.8817-1.044)","-0.9612","0.92","0.3364"
"TMEM207|131920","0.1079","1.114(0.8939-1.3883)","0.961","0.92","0.3366"
"C15orf48|84419","0.0427","1.0437(0.9565-1.1388)","0.9606","0.92","0.3367"
"HMGB3|3149","-0.0628","0.9392(0.8263-1.0675)","-0.9606","0.92","0.3368"
"TCF19|6941","0.0909","1.0952(0.9097-1.3185)","0.9601","0.92","0.337"
"CALCB|797","-0.0504","0.9508(0.8578-1.054)","-0.9596","0.92","0.3373"
"BCL2L14|79370","-0.0561","0.9455(0.8432-1.0602)","-0.9591","0.92","0.3375"
"RAPGEFL1|51195","-0.0684","0.9338(0.8118-1.0743)","-0.9577","0.92","0.3382"
"C3orf66|677779","0.0922","1.0966(0.9078-1.3246)","0.9565","0.91","0.3388"
"C21orf67|84536","0.0766","1.0796(0.9227-1.2632)","0.9562","0.91","0.339"
"CPB1|1360","-0.0675","0.9347(0.8139-1.0735)","-0.9561","0.91","0.339"
"EEF1A2|1917","0.0247","1.025(0.9744-1.0784)","0.9557","0.91","0.3392"
"SYNJ2|8871","0.1018","1.1071(0.8983-1.3645)","0.9541","0.91","0.34"
"ZNF695|57116","0.0434","1.0444(0.9552-1.142)","0.9535","0.91","0.3404"
"SALL1|6299","0.0322","1.0327(0.9665-1.1035)","0.9531","0.91","0.3405"
"NPC1L1|29881","-0.0375","0.9632(0.8916-1.0405)","-0.9529","0.91","0.3406"
"MRPL9|65005","0.1761","1.1925(0.8301-1.7133)","0.9525","0.91","0.3408"
"SP9|100131390","0.0563","1.0579(0.9422-1.1879)","0.9521","0.91","0.341"
"KCTD13|253980","-0.1246","0.8828(0.6828-1.1415)","-0.9507","0.9","0.3418"
"KIAA1210|57481","-0.0759","0.9269(0.7927-1.0839)","-0.9507","0.9","0.3418"
"C7orf61|402573","0.0893","1.0934(0.9094-1.3147)","0.9496","0.9","0.3423"
"KCNQ2|3785","0.0394","1.0402(0.9589-1.1285)","0.9492","0.9","0.3425"
"NEB|4703","-0.0427","0.9582(0.877-1.0469)","-0.9449","0.89","0.3447"
"SYCP2|10388","-0.042","0.9589(0.879-1.0461)","-0.9445","0.89","0.3449"
"KHDC1L|100129128","0.0347","1.0353(0.9634-1.1125)","0.9437","0.89","0.3453"
"PRKAA2|5563","0.0543","1.0558(0.9432-1.182)","0.9436","0.89","0.3454"
"IL1F5|26525","0.0304","1.0308(0.9677-1.098)","0.9418","0.89","0.3463"
"PRRX2|51450","0.0427","1.0437(0.9548-1.1408)","0.9411","0.89","0.3467"
"PODXL2|50512","-0.0487","0.9524(0.8604-1.0542)","-0.9407","0.88","0.3469"
"METTL7B|196410","-0.047","0.9541(0.865-1.0524)","-0.9389","0.88","0.3478"
"KLK9|284366","0.0646","1.0667(0.9321-1.2207)","0.9386","0.88","0.3479"
"CBLN2|147381","-0.0616","0.9402(0.8267-1.0694)","-0.9386","0.88","0.348"
"CCDC160|347475","-0.0425","0.9584(0.8769-1.0474)","-0.9382","0.88","0.3482"
"OPLAH|26873","-0.0931","0.9111(0.7498-1.107)","-0.9372","0.88","0.3486"
"GATA4|2626","0.0403","1.0411(0.9567-1.133)","0.9334","0.87","0.3506"
"KCNQ5|56479","0.0403","1.0411(0.9567-1.133)","0.9333","0.87","0.3507"
"GPC2|221914","-0.0458","0.9552(0.8676-1.0517)","-0.9327","0.87","0.351"
"FAM90A1|55138","0.0498","1.051(0.9467-1.1668)","0.9327","0.87","0.351"
"GPR172A|79581","0.1245","1.1326(0.8714-1.4721)","0.9308","0.87","0.3519"
"C17orf57|124989","-0.0807","0.9224(0.778-1.0936)","-0.9295","0.86","0.3526"
"PRB4|5545","-0.0518","0.9495(0.8511-1.0593)","-0.9279","0.86","0.3534"
"SDF2L1|23753","-0.1153","0.8911(0.6983-1.137)","-0.9273","0.86","0.3538"
"TXNDC2|84203","-0.0774","0.9255(0.7856-1.0903)","-0.9263","0.86","0.3543"
"STMN2|11075","0.0409","1.0417(0.9554-1.1358)","0.9261","0.86","0.3544"
"MGC14436|84983","-0.0571","0.9445(0.8369-1.0659)","-0.9259","0.86","0.3545"
"HAPLN3|145864","0.0691","1.0715(0.9256-1.2405)","0.9251","0.86","0.3549"
"POM121L8P|29797","-0.074","0.9286(0.7938-1.0864)","-0.9249","0.86","0.355"
"ZDHHC8P1|150244","-0.0495","0.9517(0.8568-1.0571)","-0.9238","0.85","0.3556"
"CNTN5|53942","-0.0512","0.9501(0.8523-1.0592)","-0.923","0.85","0.356"
"DPEP1|1800","0.0439","1.0448(0.9518-1.1469)","0.9222","0.85","0.3564"
"XKR9|389668","-0.0443","0.9566(0.8705-1.0513)","-0.9204","0.85","0.3574"
"LINGO1|84894","0.0506","1.0519(0.9444-1.1716)","0.92","0.85","0.3576"
"C16orf75|116028","0.0889","1.093(0.9042-1.3212)","0.9191","0.84","0.358"
"ISX|91464","-0.0465","0.9545(0.8643-1.0542)","-0.9182","0.84","0.3585"
"BRSK2|9024","-0.0444","0.9566(0.8699-1.0519)","-0.9161","0.84","0.3596"
"XPO5|57510","0.1223","1.13(0.8698-1.4682)","0.9153","0.84","0.36"
"ZACN|353174","-0.0608","0.941(0.8262-1.0718)","-0.9153","0.84","0.36"
"PVT1|5820","-0.0675","0.9347(0.8089-1.0802)","-0.9144","0.84","0.3605"
"PSG6|5675","0.0596","1.0615(0.934-1.2062)","0.9142","0.84","0.3606"
"DUS1L|64118","-0.1364","0.8725(0.6511-1.1692)","-0.9132","0.83","0.3611"
"CELA3B|23436","-0.1671","0.8461(0.5911-1.2112)","-0.9132","0.83","0.3611"
"GAGE2B|645037","-0.0475","0.9536(0.8612-1.056)","-0.9127","0.83","0.3614"
"HOXD3|3232","0.0437","1.0447(0.9509-1.1477)","0.9109","0.83","0.3623"
"NIPSNAP1|8508","-0.1117","0.8943(0.7031-1.1375)","-0.9101","0.83","0.3628"
"PITX2|5308","0.0281","1.0284(0.9681-1.0925)","0.9095","0.83","0.3631"
"C7orf47|221908","-0.0987","0.906(0.7325-1.1207)","-0.9094","0.83","0.3631"
"TUBA3E|112714","0.0517","1.0531(0.9419-1.1775)","0.9085","0.83","0.3636"
"EZH2|2146","0.0778","1.081(0.9138-1.2787)","0.908","0.82","0.3639"
"EMB|133418","-0.0683","0.934(0.8057-1.0826)","-0.9063","0.82","0.3648"
"RNASEH2A|10535","0.0926","1.097(0.8979-1.3403)","0.9059","0.82","0.365"
"UGT2B4|7363","-0.0429","0.958(0.8731-1.0512)","-0.9052","0.82","0.3654"
"SOHLH2|54937","-0.0348","0.9658(0.8957-1.0415)","-0.903","0.82","0.3665"
"SLC7A9|11136","-0.0437","0.9573(0.8707-1.0525)","-0.9028","0.82","0.3666"
"HS3ST1|9957","-0.0611","0.9408(0.8239-1.0742)","-0.9024","0.81","0.3669"
"MPPED1|758","-0.1029","0.9022(0.7213-1.1285)","-0.9014","0.81","0.3674"
"C21orf88|114041","-0.0647","0.9373(0.8141-1.0792)","-0.9004","0.81","0.3679"
"TNFRSF21|27242","0.0818","1.0852(0.9081-1.2969)","0.8997","0.81","0.3683"
"HGFAC|3083","-0.0543","0.9472(0.8414-1.0662)","-0.8984","0.81","0.369"
"SLC25A39|51629","-0.1423","0.8674(0.6357-1.1835)","-0.8974","0.81","0.3695"
"EPHA8|2046","-0.0656","0.9365(0.8115-1.0808)","-0.8972","0.8","0.3696"
"FOXR2|139628","0.112","1.1185(0.8758-1.4285)","0.8973","0.81","0.3696"
"BARX1|56033","0.0223","1.0226(0.9739-1.0736)","0.897","0.8","0.3697"
"SLC6A11|6538","0.0345","1.0351(0.9599-1.1162)","0.8968","0.8","0.3698"
"ZBP1|81030","-0.0528","0.9486(0.8451-1.0648)","-0.8951","0.8","0.3707"
"COCH|1690","0.0353","1.0359(0.9588-1.1192)","0.8944","0.8","0.3711"
"CSRP3|8048","-0.0912","0.9129(0.7475-1.1148)","-0.8942","0.8","0.3712"
"LOC648691|648691","0.076","1.079(0.9132-1.2748)","0.8933","0.8","0.3717"
"SLC25A41|284427","-0.0633","0.9387(0.817-1.0785)","-0.8932","0.8","0.3718"
"PIWIL3|440822","-0.04","0.9608(0.8801-1.0489)","-0.8926","0.8","0.3721"
"BOLA1|51027","-0.1067","0.8988(0.7108-1.1365)","-0.8911","0.79","0.3729"
"IVL|3713","0.0236","1.0238(0.9721-1.0783)","0.8905","0.79","0.3732"
"FAM81A|145773","0.0582","1.06(0.9324-1.205)","0.8901","0.79","0.3734"
"CHAC2|494143","0.0866","1.0904(0.9009-1.3199)","0.8888","0.79","0.3741"
"PACSIN1|29993","-0.0532","0.9482(0.8432-1.0663)","-0.8883","0.79","0.3744"
"ABHD1|84696","-0.0619","0.94(0.82-1.0776)","-0.8877","0.79","0.3747"
