"","beta","HR (95% CI)","z","wald.test","P-value"
"CASP14|23581","0.1398","1.15(1.0612-1.2463)","3.4085","11.62","0.0007"
"HMGA1|3159","0.2906","1.3373(1.1287-1.5843)","3.3601","11.29","0.0008"
"UCA1|652995","0.1109","1.1172(1.0471-1.192)","3.3522","11.24","0.0008"
"SPANXA2|728712","0.218","1.2435(1.095-1.4122)","3.3587","11.28","0.0008"
"ASPM|259266","0.2264","1.254(1.0978-1.4326)","3.3332","11.11","0.0009"
"GAPDH|2597","0.3668","1.4432(1.1627-1.7914)","3.3267","11.07","0.0009"
"GPR115|221393","0.12","1.1275(1.0504-1.2103)","3.3211","11.03","0.0009"
"SIX1|6495","-0.1683","0.8451(0.7654-0.9331)","-3.3288","11.08","0.0009"
"GPX8|493869","0.2968","1.3456(1.129-1.6037)","3.3154","10.99","0.0009"
"F2|2147","0.1286","1.1372(1.0544-1.2265)","3.3332","11.11","0.0009"
"CCDC64B|146439","-0.2144","0.807(0.711-0.916)","-3.3168","11","0.0009"
"EREG|2069","0.0809","1.0843(1.0335-1.1375)","3.3062","10.93","0.0009"
"GABRA2|2555","0.1713","1.1868(1.0723-1.3136)","3.3095","10.95","0.0009"
"LOC100131726|100131726","0.1817","1.1993(1.0763-1.3363)","3.2917","10.84","0.001"
"FAM178B|51252","-0.1654","0.8475(0.7681-0.9353)","-3.2923","10.84","0.001"
"MMP14|4323","0.2854","1.3303(1.122-1.5772)","3.2852","10.79","0.001"
"SLC13A5|284111","0.1333","1.1426(1.0556-1.2368)","3.2979","10.88","0.001"
"CCNB1|891","0.2743","1.3156(1.1162-1.5507)","3.2711","10.7","0.0011"
"MKI67|4288","0.2375","1.268(1.0996-1.4623)","3.2655","10.66","0.0011"
"DSG2|1829","0.3045","1.3559(1.1295-1.6278)","3.2661","10.67","0.0011"
"STK32A|202374","-0.1275","0.8803(0.8153-0.9505)","-3.2567","10.61","0.0011"
"CNNM1|26507","0.1328","1.142(1.0547-1.2366)","3.2721","10.71","0.0011"
