"","logFC","logCPM","LR","PValue","FDR","change"
"FUT9|10690",6.34589785997231,1.30368275507941,92.0642304943287,8.39083877046972e-22,5.51917816939533e-21,"Up"
"CACNB3|784",1.22879598897187,5.20412567788596,92.0287933556867,8.54244768852146e-22,5.61685385537792e-21,"Up"
"SFRS13B|135295",2.17620252268943,1.05867079444467,92.0097007201712,8.62526339037234e-22,5.66924176740096e-21,"Up"
"LOC92659|92659",1.24627048677004,2.77127388584505,91.8475834360621,9.36161372846094e-22,6.14428240672697e-21,"Up"
"C19orf26|255057",2.26951518996229,0.419055124509577,91.8157145514607,9.51359715204831e-22,6.23949545775145e-21,"Up"
"ADC|113451",1.39334933759773,3.11840170353547,91.7740380092373,9.71608382240517e-22,6.36998172577519e-21,"Up"
"FKBP4|2288",1.22216193302637,6.97548209668503,91.6514939061989,1.03367855281079e-21,6.76954433950724e-21,"Up"
"ZIC2|7546",5.33628006496467,0.945781777384719,91.6200294849772,1.05024575107279e-21,6.87554790029483e-21,"Up"
"CDK5RAP3|80279",1.04222225173096,6.94136879609941,91.5197564140848,1.10483597994054e-21,7.22438777950695e-21,"Up"
"TMEM48|55706",1.11084632312432,4.06281699271625,91.5009916179449,1.11536275016914e-21,7.28862501006621e-21,"Up"
"SLC22A18|5002",1.41459486300585,4.98332693401115,91.4356677534375,1.15279714946798e-21,7.52779875207946e-21,"Up"
"NDUFS6|4726",1.02956847634387,5.97883314482066,91.4261365583003,1.15836314949029e-21,7.56140921705252e-21,"Up"
"DEPDC7|91614",2.66835247222655,1.75121167186009,91.3042250712823,1.23197303331631e-21,8.03319410344152e-21,"Up"
"HMGA2|8091",5.82925196415011,4.11191112397316,91.2932181293302,1.23884497485363e-21,8.07508593395928e-21,"Up"
"TCN1|6947",6.82127974630361,4.82205166925458,91.1405092664061,1.33823763270426e-21,8.70722820211942e-21,"Up"
"C8orf38|137682",1.15366993951709,3.79688577268303,91.1046149085651,1.36273482468363e-21,8.86342372998734e-21,"Up"
"MMP3|4314",4.46590235130577,1.15900952622257,91.070529970758,1.38641218812943e-21,9.01093035057546e-21,"Up"
"CAPN5|726",2.01229703215945,5.87260944131121,91.0684843316449,1.38784622526618e-21,9.01700378683559e-21,"Up"
"RNF207|388591",1.66085282353424,3.51522218111126,91.0139221410444,1.42664790640948e-21,9.26243455495853e-21,"Up"
"GPR37|2861",2.79905421022076,2.87556114543943,90.9251359071754,1.49212086212475e-21,9.68054976293661e-21,"Up"
"CALU|813",1.03229985243064,8.17399690050591,90.8915478869078,1.51766564404773e-21,9.8427406429815e-21,"Up"
"BNIP3|664",1.26574910380903,6.44697976190236,90.8541687636997,1.54660827993466e-21,1.00232433912175e-20,"Up"
"KRT83|3889",6.08043893719565,-0.230249340211253,90.8517399837447,1.54850787206333e-21,1.00319521115833e-20,"Up"
"SEC61G|23480",1.05876550377995,6.14401462029294,90.8307107540213,1.56505309148114e-21,1.01318663013426e-20,"Up"
"KRTCAP3|200634",1.63327276439514,5.46232044263062,90.8212949810298,1.57251835985313e-21,1.01765449541015e-20,"Up"
"DEPDC6|64798",1.57958581534584,4.86895226943367,90.8036026002105,1.5866421872013e-21,1.02642669665936e-20,"Up"
"GEMIN8P4|492303",1.34962764778748,0.5388472572786,90.7398619960281,1.63858655874833e-21,1.05965061980826e-20,"Up"
"SPTB|6710",3.11596321633918,5.41044314418153,90.6401810089653,1.72325092262308e-21,1.11360386331629e-20,"Up"
"EXOSC4|54512",1.1135786696125,4.66840992489307,90.5018566452865,1.84803402241081e-21,1.19253364570943e-20,"Up"
"CDC7|8317",1.40525899125134,3.36721137383669,90.4204934001078,1.92561285982126e-21,1.23993530170938e-20,"Up"
"LOC100131551|100131551",4.17715889059096,-1.24222079670357,90.3269930605782,2.01879518855102e-21,1.29808458703802e-20,"Up"
"SHOX2|6474",3.47221727089666,1.03908015679773,90.2988910462248,2.04767337964694e-21,1.31618436001594e-20,"Up"
"C19orf77|284422",5.00795082012086,1.4297744240501,90.2497765912918,2.09914002830165e-21,1.34734631475165e-20,"Up"
"CDK5R1|8851",1.59534417772472,2.76692348216184,90.1976711578764,2.15515608793351e-21,1.38231742114826e-20,"Up"
"CATSPERB|79820",3.51331965195467,1.43495948993566,90.0674792543811,2.3017417637636e-21,1.47476525005926e-20,"Up"
"DMRTA2|63950",5.16992701757134,1.22016926334668,90.0097714222835,2.36986679771648e-21,1.51679878836825e-20,"Up"
"RTEL1|51750",1.13032525766779,4.79311297364205,90.0020648804173,2.3791158567949e-21,1.52217873446619e-20,"Up"
"MGC72080|389538",1.39834377812762,2.84390384963863,89.8569425362784,2.56018609269177e-21,1.635709691575e-20,"Up"
"CPXM1|56265",2.14531457740362,3.91792804635029,89.8356143996571,2.58793485129033e-21,1.6520951865517e-20,"Up"
"HOXC13|3229",6.80466399979422,1.23097140137398,89.7462120969469,2.70756220030915e-21,1.7255928726476e-20,"Up"
"SYT2|127833",3.33952876159501,2.7497709470357,89.6794727860722,2.8004564578138e-21,1.78227921745702e-20,"Up"
"E2F5|1875",1.37707829046222,3.780532587134,89.6124973218435,2.89688438086734e-21,1.84170011237318e-20,"Up"
"UGDH|7358",1.95468817049296,7.36092706855761,89.6094699713996,2.90132061363765e-21,1.84387097730796e-20,"Up"
"POU4F1|5457",5.26232361798853,0.465804752868205,89.5501369659685,2.9896510711317e-21,1.89933868999846e-20,"Up"
"TMEM145|284339",3.56304455770364,-0.284316741224692,89.4843813519406,3.09068882332974e-21,1.96283752893309e-20,"Up"
"FOXD2|2306",1.28950596365599,1.31860363957534,89.4698993255745,3.11339636758842e-21,1.97656317406273e-20,"Up"
"CRYGN|155051",3.79882692901439,-0.764556888921858,89.4131916748411,3.20393045344608e-21,2.03260951684528e-20,"Up"
"HOXB9|3219",7.20929163344678,3.7585393820497,89.2969382875083,3.39784607566752e-21,2.15184995858677e-20,"Up"
"EGF|1950",2.61329626952466,3.28688871470017,89.295091175379,3.40102005486822e-21,2.15310455876242e-20,"Up"
"SCRIB|23513",1.12787923872346,6.85224227616868,89.2805448365216,3.42611956870798e-21,2.16823394444637e-20,"Up"
"NHS|4810",1.84304585870973,4.0982434254399,89.1495903040664,3.66058837257492e-21,2.31499507836737e-20,"Up"
"OTUB2|78990",1.22943548890549,2.41622127472722,89.1045527971536,3.74488133036534e-21,2.36581600041176e-20,"Up"
"CLDN10|9071",4.29193425537493,4.60382436079781,88.981550466371,3.9851186130962e-21,2.51143176842784e-20,"Up"
"SLC24A2|25769",4.16508004534105,-2.03019234882171,88.9499065494189,4.04937718669746e-21,2.55082373713268e-20,"Up"
"KRT81|3887",5.62002518534703,4.76397107600072,88.9351004003719,4.07979859321398e-21,2.56840895740911e-20,"Up"
"C9orf84|158401",3.76658545884873,1.12228891510051,88.9061798867234,4.13988095237435e-21,2.6044165670758e-20,"Up"
"PRKDC|5591",1.09406600616123,7.83562452166213,88.8926308467047,4.16833273062245e-21,2.62140200191654e-20,"Up"
"POLE|5426",1.05950803749048,5.38072438369647,88.8509409506466,4.25711042476226e-21,2.67536859528322e-20,"Up"
"HIST1H3D|8351",3.15008093768818,0.110079881906672,88.7951809662792,4.37881351589155e-21,2.74993754865437e-20,"Up"
"RTBDN|83546",5.38046940913041,-0.0765677362466442,88.7034348628904,4.58668111865457e-21,2.87847731260766e-20,"Up"
"C12orf11|55726",1.00943931247685,4.71619474974839,88.6301708152351,4.75973991900222e-21,2.98500854058621e-20,"Up"
"AKR1B10|57016",7.77501096678849,6.62434701558076,88.5371868732626,4.98881598701412e-21,3.12649790797284e-20,"Up"
"MIOX|55586",4.76033737941543,0.228867492981075,88.3850634279861,5.38760925918845e-21,3.36940261673916e-20,"Up"
"MAP1D|254042",1.11308796282959,1.3419856831577,88.3083031088885,5.60078631616538e-21,3.50150994875196e-20,"Up"
"ELMO3|79767",1.18537194892758,5.44657699190288,88.3026550678183,5.61680117404777e-21,3.51030624620458e-20,"Up"
"SPOCK1|6695",3.22672500062121,3.9387316753681,88.1801315755752,5.97571288789492e-21,3.72558348578983e-20,"Up"
"CKAP2|26586",1.14382214283814,4.81225143821511,88.1115279521842,6.18660206044682e-21,3.85440043455315e-20,"Up"
"IL11|3589",2.8284027377024,0.748535267112929,87.9312848397798,6.77682951262444e-21,4.21485168412676e-20,"Up"
"SLC16A9|220963",3.20623673619861,4.69148777645631,87.8538939498467,7.04723668800723e-21,4.37549277543318e-20,"Up"
"ADAM15|8751",1.0081630566911,7.84288729313967,87.8304896594911,7.13111832691316e-21,4.42605071122612e-20,"Up"
"PPAPDC1B|84513",1.15387946490419,5.61003868169546,87.7758569649292,7.33083051257591e-21,4.54844138609428e-20,"Up"
"DIRAS1|148252",2.65748126399473,2.78593475275615,87.7688371743172,7.35689400432614e-21,4.56304398227088e-20,"Up"
"UCA1|652995",5.86486873748488,2.3215809665892,87.7086921569029,7.58403735901308e-21,4.7006967820339e-20,"Up"
"AURKAPS1|6791",1.53346591531591,-0.186602746378549,87.6577922306568,7.78173741448568e-21,4.81992376781236e-20,"Up"
"S100A2|6273",3.63009604053508,5.53064250046358,87.6337749306779,7.87680474930079e-21,4.87713375369228e-20,"Up"
"LCN12|286256",2.6419003600896,0.366819401879363,87.6262882176728,7.90667614023449e-21,4.89395053686873e-20,"Up"
"LOC387646|387646",1.77581325488355,1.28979328078397,87.5972172049666,8.0237453207359e-21,4.96470960898054e-20,"Up"
"FKBP10|60681",1.82419308346802,7.09173623436816,87.5728489087697,8.12321134366767e-21,5.02453192398416e-20,"Up"
"DSG2|1829",1.44898025641294,7.73684747607108,87.5090940458297,8.38931821577243e-21,5.18380022172121e-20,"Up"
"CEACAM7|1087",5.64822436080243,3.45235654828632,87.4875751270748,8.48109034721886e-21,5.23692096055263e-20,"Up"
"DUSP4|1846",2.49532144347607,5.49346296606647,87.4831411517863,8.50012441425585e-21,5.24508531804799e-20,"Up"
"WDR76|79968",1.23488866375073,3.25734367534444,87.4644852731965,8.58067916526381e-21,5.28936742670241e-20,"Up"
"AKR1B15|441282",6.81340376518442,1.05158299765939,87.4430131616294,8.67433986224915e-21,5.34162948392136e-20,"Up"
"SEZ6L2|26470",1.80046842051786,6.63427934366199,87.3925619448999,8.89845036527901e-21,5.47589944230893e-20,"Up"
"C17orf96|100170841",1.43482104517948,3.0644111962727,87.3487811470631,9.09761834008265e-21,5.59655464963026e-20,"Up"
"KRT16|3868",5.25242061159365,3.9868364856171,87.317248526335,9.24382336318782e-21,5.68262152187252e-20,"Up"
"NCAPD3|23310",1.01308723072876,5.01944967966291,87.1994624226443,9.81104618030765e-21,6.02106672928843e-20,"Up"
"TMEM171|134285",2.97443441564007,0.697437383348983,87.1524305540823,1.00471472456314e-20,6.16177236277271e-20,"Up"
"TMEM59L|25789",4.35888826934908,4.54508762175679,87.1358133146756,1.01319178986461e-20,6.21165034485951e-20,"Up"
"NETO2|81831",1.48044093454475,4.77783613587053,87.1229820277282,1.0197864190357e-20,6.24148018893703e-20,"Up"
"TEKT5|146279",2.86271493270469,-1.02433534863079,87.0891027144977,1.03740573588576e-20,6.34716478881426e-20,"Up"
"APBA2|321",2.13366395601423,4.18725712607993,87.0881919095784,1.03788358983843e-20,6.34793660216669e-20,"Up"
"GFAP|2670",3.4196043696101,-0.0920636131324283,87.0599087115431,1.05283245164046e-20,6.43282766406861e-20,"Up"
"AKR7L|246181",3.00464566984417,0.965121944370396,87.0159767415886,1.0764805514212e-20,6.57509220731007e-20,"Up"
"GPR84|53831",1.9590462643453,1.76492859781511,86.9521846803863,1.11176818367235e-20,6.78603447653104e-20,"Up"
"CFB|629",2.00988989856339,8.13215937791953,86.8728674501393,1.15726178393234e-20,7.05417694636774e-20,"Up"
"TRIM15|89870",6.2014858781909,0.670047242161748,86.8213465144204,1.1878052805494e-20,7.23546996579011e-20,"Up"
"GRID2IP|392862",1.54738146813123,0.608706539645862,86.7886113188023,1.20762949454651e-20,7.35126635651599e-20,"Up"
"CKMT1B|1159",2.89338500026656,4.32138771007599,86.6708758574251,1.28170471862732e-20,7.79692904162604e-20,"Up"
"PLEKHA6|22874",1.67319728875134,5.82590566156596,86.6429483499446,1.29993254471922e-20,7.90514909017425e-20,"Up"
"LRP8|7804",1.61157560950792,3.80003862699871,86.3881789338229,1.47866144851946e-20,8.96184032381721e-20,"Up"
"GLB1L3|112937",5.9777018329601,3.68638384105255,86.3106709484362,1.53776522390656e-20,9.31067578875867e-20,"Up"
"FAM131C|348487",3.5790384483288,-1.12616528130961,86.2962239126957,1.54904031899658e-20,9.37265461534339e-20,"Up"
"COL6A4P2|646300",2.30401498201023,-1.03210730169678,86.2656769015782,1.57315354529366e-20,9.51536472486773e-20,"Up"
"LY6D|8581",5.94733458989088,3.26728138094107,86.2431390107183,1.59118489899669e-20,9.61798266644048e-20,"Up"
"FLJ40330|645784",2.70978520984116,2.468763378037,86.2322691903847,1.59995500563937e-20,9.66775624264646e-20,"Up"
"BCMO1|53630",2.87204806741126,1.39578264617416,86.1262460404482,1.68807479051023e-20,1.01831757666842e-19,"Up"
"ZNF280B|140883",1.99791535417257,1.98251104165147,85.8980457083903,1.89455926946199e-20,1.14135181089851e-19,"Up"
"SOHLH2|54937",5.0537603621947,1.72992517856862,85.7974803294804,1.99340001730292e-20,1.20009596105072e-19,"Up"
"NPC1L1|29881",4.82391309990004,2.32906669932085,85.6472940458307,2.15069606151272e-20,1.29306839487818e-19,"Up"
"CDH1|999",1.02780609156021,8.87517242418709,85.6353496717604,2.16372639973251e-20,1.30046945683557e-19,"Up"
"CKMT1A|548596",3.16094413624867,2.91634954971368,85.4505194182989,2.37572697768169e-20,1.42598923246348e-19,"Up"
"NKAIN4|128414",3.96495310883131,0.315305359517139,85.3414241544034,2.51048441173208e-20,1.50587348445837e-19,"Up"
"PAX9|5083",2.83279463736262,3.84359964708821,85.3261722472184,2.52992350124156e-20,1.51702954398368e-19,"Up"
"ENC1|8507",1.24745478111586,6.69801947521288,85.2946444509633,2.57058538338971e-20,1.53987705226687e-19,"Up"
"OPLAH|26873",1.42193824608239,4.81073503773103,85.2316116824917,2.65385013782662e-20,1.58870119859478e-19,"Up"
"UCN2|90226",3.83711024449726,-0.564150601545745,85.2214964466157,2.66746107466815e-20,1.59631979233042e-19,"Up"
"TIGD3|220359",1.52729689115418,0.311770975394865,85.2202759944455,2.66910801361312e-20,1.59677595418307e-19,"Up"
"FGB|2244",9.17422235429536,7.98716798166094,85.2195063493277,2.67014713398099e-20,1.59686831084237e-19,"Up"
"KRTAP5-1|387264",2.09882149696564,-0.325780769589548,85.1967987290324,2.70098812129936e-20,1.61477756215078e-19,"Up"
"SLC16A14|151473",2.9826191771397,5.2819992311239,85.1944813889094,2.70415544905773e-20,1.61613581788222e-19,"Up"
"IL17C|27189",4.45390703607259,-0.270532959731099,85.1686343999244,2.73973578562959e-20,1.63631671723456e-19,"Up"
"FAM54A|113115",1.6985075605001,1.98499406214922,85.1313209748707,2.79192811008472e-20,1.66638592787431e-19,"Up"
"CNGA3|1261",4.95391660006433,2.75015575868972,85.1229125315426,2.80382609734472e-20,1.67293412333801e-19,"Up"
"POLB|5423",1.17133958332634,4.68631042373396,85.0942394570413,2.84478129409632e-20,1.69680307668152e-19,"Up"
"TAS1R3|83756",2.36825918705417,1.48321644780329,85.0935937008842,2.84571051754388e-20,1.69680307668152e-19,"Up"
"CLPTM1L|81037",1.0021504620327,8.07233110375823,85.0859468097317,2.85673727254824e-20,1.70281542378544e-19,"Up"
"SP8|221833",6.52898829414946,0.570605833868274,85.055597588412,2.90092363278852e-20,1.72858272196104e-19,"Up"
"HIST1H2AE|3012",3.32721256008706,0.715123801089395,84.9596531142264,3.04515921968707e-20,1.81213579809205e-19,"Up"
"UCHL1|7345",3.59002919072507,6.18376643007542,84.8970670091755,3.14309033493447e-20,1.8697968838244e-19,"Up"
"C3orf57|165679",4.58539564465614,2.52032427363971,84.8803261113859,3.16981540978876e-20,1.88507408010798e-19,"Up"
"KCNK12|56660",3.6388136548708,-0.484008540270908,84.8763240457487,3.17623787616523e-20,1.88827132499691e-19,"Up"
"TTYH1|57348",2.94978132193017,-0.411407346514668,84.8084216298648,3.28721234375334e-20,1.95231640646279e-19,"Up"
"SPERT|220082",4.70473033417442,-0.569883296072405,84.7965464812313,3.30701484492887e-20,1.96149559435166e-19,"Up"
"IGF2BP1|10642",6.75292916625057,3.23557084379341,84.7812520298203,3.3326951405174e-20,1.97478051842411e-19,"Up"
"RAB3B|5865",4.4893685803612,-0.0220574291902908,84.6498074638914,3.56178595388003e-20,2.10983507323862e-19,"Up"
"IL1F9|56300",4.41205385228295,-0.824636928677975,84.5678469871908,3.71253842220374e-20,2.1976912424518e-19,"Up"
"ZP3|7784",1.58809716946508,3.28668859320486,84.45992712866,3.92081668863426e-20,2.31794367550474e-19,"Up"
"RPSAP52|204010",4.8431923724612,-0.805511913558747,84.4270052538392,3.98665079136329e-20,2.35532111729349e-19,"Up"
"SLCO1B3|28234",7.31172881785987,2.6506073292092,84.3366102009064,4.17315620361282e-20,2.46470210467957e-19,"Up"
"MFAP2|4237",1.67073576396289,5.1845296181285,84.3061240160058,4.23800417738221e-20,2.50218310100005e-19,"Up"
"SLC12A7|10723",1.24521140777212,7.46655198118376,84.18056993331,4.51587040780958e-20,2.66275547175939e-19,"Up"
"GPR87|53836",4.22172749945544,3.46966475077447,84.0834201090687,4.74331971898082e-20,2.79230846731522e-19,"Up"
"FAM24B|196792",1.51311080381309,0.983886711562139,84.0394563852816,4.84998073051749e-20,2.85137792199056e-19,"Up"
"CXorf61|203413",6.94930377554089,1.89066250118938,84.0166781944856,4.90618334701636e-20,2.88254242286127e-19,"Up"
